Date,Bronx,Brooklyn,Citywide,Manhattan,Queens,Staten Island,(blank),Grand Total
11/10/14,,,,,1,,2,3
11/11/14,,,,1,,,,1
11/12/14,,,,,,,3,3
11/13/14,,,,,1,,,1
11/14/14,,,,1,,,,1
11/15/14,,1,,,,,,1
11/17/14,,,,1,,,1,2
11/18/14,,,,2,,,1,3
11/19/14,1,2,,,1,,1,5
11/20/14,,1,,2,1,,,4
11/21/14,3,1,,,2,,1,7
11/22/14,,1,,,,,3,4
11/24/14,,,,3,,,1,4
11/25/14,,1,,1,,,2,4
11/27/14,,1,,,1,,,2
11/28/14,1,,,,,1,1,3
11/29/14,,,,1,,,,1
11/30/14,,,,,1,,1,2
12/2/14,,1,,,1,,1,3
12/3/14,,,1,,,,,1
12/5/14,,2,,,1,,,3
12/6/14,,,,,1,,,1
12/7/14,,,,1,,,,1
12/8/14,,,,1,,,1,2
12/9/14,,2,1,2,,,1,6
12/10/14,,1,,1,1,,1,4
12/11/14,1,,,,,,,1
12/12/14,,2,,2,,,,4
12/13/14,,1,,1,1,,,3
12/14/14,1,,,,1,,,2
12/15/14,1,2,,2,,,,5
12/16/14,1,,,1,,,,2
12/17/14,1,,,1,,,,2
12/18/14,,1,,2,4,,,7
12/19/14,,,,1,1,,,2
12/20/14,,3,,,,,,3
12/21/14,,1,,2,,,,3
12/23/14,1,,,2,1,,,4
12/24/14,,,,,1,1,,2
12/25/14,,1,,,,,,1
12/26/14,,1,,,1,,,2
12/30/14,1,,,2,,,1,4
12/31/14,,,,,1,,,1
(blank),,,,,,,,
Grand Total,174,326,7,586,235,81,120,1529
